Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close
10/12/15,112.730003,112.75,111.440002,111.599998
10/13/15,110.82,112.449997,110.68,111.790001
10/14/15,111.290001,111.519997,109.559998,110.209999
10/15/15,110.93,112.099998,110.489998,111.860001
10/16/15,111.779999,112,110.529999,111.040001
10/19/15,110.800003,111.75,110.110001,111.730003
10/20/15,111.339996,114.169998,110.82,113.769997
10/21/15,114,115.580002,113.699997,113.760002
10/22/15,114.330002,115.5,114.099998,115.5
10/23/15,116.699997,119.230003,116.330002,119.080002
10/26/15,118.080002,118.129997,114.919998,115.279999
10/27/15,115.400002,116.540001,113.989998,114.550003
10/28/15,116.93,119.300003,116.059998,119.269997
10/29/15,118.699997,120.690002,118.269997,120.529999
10/30/15,120.989998,121.220001,119.449997,119.5
11/2/15,120.800003,121.360001,119.610001,121.18
11/3/15,120.790001,123.489998,120.699997,122.57
11/4/15,123.129997,123.82,121.620003,122
11/5/15,121.849998,122.690002,120.18,120.919998
11/6/15,121.110001,121.809998,120.620003,121.059998
11/9/15,120.959999,121.809998,120.050003,120.57
11/10/15,116.900002,118.07,116.059998,116.769997
11/11/15,116.370003,117.419998,115.209999,116.110001
11/12/15,116.260002,116.82,115.650002,115.720001
11/13/15,115.199997,115.57,112.269997,112.339996
11/16/15,111.379997,114.239998,111,114.18
11/17/15,114.919998,115.050003,113.32,113.690002
11/18/15,115.760002,117.489998,115.5,117.290001
11/19/15,117.639999,119.75,116.760002,118.779999
11/20/15,119.199997,119.919998,118.849998,119.300003
11/23/15,119.269997,119.730003,117.339996,117.75
11/24/15,117.330002,119.349998,117.120003,118.879997
11/25/15,119.209999,119.230003,117.919998,118.029999
11/27/15,118.290001,118.410004,117.599998,117.809998
11/30/15,117.989998,119.410004,117.75,118.300003
12/1/15,118.75,118.809998,116.860001,117.339996
12/2/15,117.339996,118.110001,116.080002,116.279999
12/3/15,116.550003,116.790001,114.220001,115.199997
12/4/15,115.290001,119.25,115.110001,119.029999
12/7/15,118.980003,119.860001,117.809998,118.279999
12/8/15,117.519997,118.599998,116.860001,118.230003
12/9/15,117.639999,117.690002,115.080002,115.620003
12/10/15,116.040001,116.940002,115.510002,116.169998
12/11/15,115.190002,115.389999,112.849998,113.18
12/14/15,112.18,112.68,109.790001,112.480003
12/15/15,111.940002,112.800003,110.349998,110.489998
12/16/15,111.07,111.989998,108.800003,111.339996
12/17/15,112.019997,112.25,108.980003,108.980003
12/18/15,108.910004,109.519997,105.809998,106.029999
12/21/15,107.279999,107.370003,105.57,107.330002
12/22/15,107.400002,107.720001,106.449997,107.230003
12/23/15,107.269997,108.849998,107.199997,108.610001
12/24/15,109,109,107.949997,108.029999
12/28/15,107.589996,107.690002,106.18,106.82
12/29/15,106.959999,109.43,106.860001,108.739998
12/30/15,108.580002,108.699997,107.18,107.32
